grid_id,risk_score,address
75807,0.9999999999755866,대한민국 서울특별시 도봉구 도봉동 572-19
35992,0.9999999999755866,대한민국 서울특별시 영등포구 대림동 713-10번지 1층
102610,0.9999999999755866,대한민국 서울특별시 송파구 오금로59길 3-22
84029,0.9999999999755866,대한민국 서울특별시 노원구 공릉동 395-17
80069,0.9999999999755866,대한민국 서울특별시 노원구 노해로 452
54484,0.9999999999755866,대한민국 서울특별시 중구 중림동 171
54179,0.9999999999755866,대한민국 서울특별시 서대문구 충정로3가 251-1
66408,0.9999999999755866,대한민국 서울특별시 서초구 잠원동 85
83722,0.9999999999755866,대한민국 서울특별시 노원구 동일로191길 8-1
54816,0.9999999999755866,대한민국 서울특별시 종로구 필운대로9길 19
45591,0.9999999999755866,대한민국 서울특별시 연희동 135-4번지 서대문구 서울특별시 KR
80070,0.9999999999755866,대한민국 서울특별시 노원구 상계동 708
57870,0.9999999999755866,대한민국 서울특별시 프레스센터
23449,0.9999999999755866,대한민국 서울특별시 강서구 화곡동 158-4
79596,0.9999999999755866,대한민국 서울특별시 강남구 삼성로 414
58185,0.9999999999755866,대한민국 서울특별시 종로구 세종로 76-9
56348,0.9999999999755866,대한민국 서울특별시 종로구 통의동 108
60637,0.9999999999755866,대한민국 서울특별시 남인사마당
73830,0.9999999999755866,대한민국 서울특별시 성동구 고산자로 260
73144,0.9999999999755866,대한민국 서울특별시 강남구 테헤란로20길 5
103562,0.9999999999755866,대한민국 서울특별시 강동구 둔촌동 산18-26 서울둘레길 7코스 일자산 공원 입구
87969,0.9999999999755866,대한민국 서울특별시 중랑구 사가정로54길 26
97429,0.9999999999755866,대한민국 서울특별시 성내동 558-2번지 강동구 서울특별시 KR
65547,0.9999999999755866,대한민국 서울특별시 중구 을지로6가 17-282
54178,0.9999999999755866,대한민국 서울특별시 서대문구 충정로3가 360-9
68856,0.9999999999755866,대한민국 서울특별시 서초구 반포동 717-1
81727,0.9999999999755866,대한민국 서울특별시 강남구 개포동 152
105071,0.9999999999755866,대한민국 서울특별시 송파구 마천동 169-15
