Report Count,recall@100,recall@200,recall@500,precision@100,precision@200,precision@500,lift@100,lift@200,lift@500,pr_auc
25,0.4104 ± 0.1194,0.6616 ± 0.1136,0.9600 ± 0.0800,0.0172 ± 0.0036,0.0145 ± 0.0021,0.0100 ± 0.0000,94.9051 ± 29.1688,75.9677 ± 14.3189,43.7942 ± 4.2661,0.0183 ± 0.0013
50,0.4282 ± 0.0437,0.7126 ± 0.0466,1.0000 ± 0.0000,0.0334 ± 0.0039,0.0300 ± 0.0026,0.0200 ± 0.0000,99.2729 ± 9.8512,82.4959 ± 5.5493,45.9272 ± 0.0000,0.0370 ± 0.0019
75,0.4484 ± 0.0264,0.7259 ± 0.0252,1.0000 ± 0.0000,0.0544 ± 0.0061,0.0474 ± 0.0030,0.0300 ± 0.0000,104.7383 ± 6.6413,84.0852 ± 3.0260,45.9272 ± 0.0000,0.0570 ± 0.0021
100,0.4441 ± 0.0290,0.7224 ± 0.0192,1.0000 ± 0.0000,0.0694 ± 0.0052,0.0621 ± 0.0030,0.0400 ± 0.0000,104.2476 ± 7.1014,83.6737 ± 2.2833,45.9272 ± 0.0000,0.0755 ± 0.0021
